request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_192,90.15,not_affordable,not_recommended,none,,none,"Do not make this payment by 11 May 2026. None of the available options keeps the USD 1,000 minimum protected."
request_193,36.52,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-03-15,none,"Use 3 installments of EUR 420.23, starting 21 March 2024. This leaves at least EUR 1,000 available."
request_194,39671.90,affordable_later,wait,2025-10-15:132800,2025-10-15,none,"Pay INR 132,800 in full on 15 October 2025. Paying earlier would take the balance below the INR 113,600 minimum."
request_195,960.07,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,170.40 request. Although EUR 960.07 is available today, the full amount cannot be completed safely within 90 days."
request_196,762.30,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 today. This leaves at least EUR 500 available over the next 90 days.
request_197,0.00,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 January 2026. None of the available options keeps the IDR 26,245,900 minimum protected."
request_198,185800.00,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Pay INR 185,800 today. This leaves at least INR 124,300 available over the next 90 days."
request_199,23674000.00,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8,206,986.67, starting 7 September 2024. This leaves at least IDR 25,359,500 available."
request_200,21717000.00,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"Pay IDR 21,717,000 today. This leaves at least IDR 20,114,600 available over the next 90 days."
request_201,23122965.84,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 May 2026. None of the available options keeps the IDR 17,304,500 minimum protected."
request_202,123900.00,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Pay INR 123,900 today. This leaves at least INR 147,800 available over the next 90 days."
request_203,1051.46,not_affordable,not_recommended,none,,none,"Do not make this payment by 8 July 2025. None of the available options keeps the EUR 1,400 minimum protected."
request_204,574.57,affordable_later,wait,2026-01-15:588.74,2026-01-15,none,"Pay EUR 588.74 in full on 15 January 2026. Paying earlier would take the balance below the EUR 1,300 minimum."
request_205,10621000.00,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Pay IDR 10,621,000 today. This leaves at least IDR 13,994,300 available over the next 90 days."
request_206,1404.70,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 3 August 2025. This leaves at least EUR 900 available."
request_207,4692.34,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Pay ZAR 11,830 in full on 15 July 2026. Paying earlier would take the balance below the ZAR 13,600 minimum."
request_208,3127485.91,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,"Pay IDR 4,413,000 in full on 15 June 2024. Paying earlier would take the balance below the IDR 10,470,700 minimum."
request_209,1867.79,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 November 2025. None of the available options keeps the ZAR 18,400 minimum protected."
request_210,990.07,affordable_with_plan,partial_payment,2026-04-06:990.07|2026-04-15:369.95,2026-04-15,none,"Pay USD 990.07 today and the remaining USD 369.95 on 15 April 2026. This completes the full request and keeps the USD 2,000 minimum protected."
request_211,273.67,affordable_later,wait,2024-10-15:1788.60,2024-10-15,none,"Pay EUR 1,788.60 in full on 15 October 2024. Paying earlier would take the balance below the EUR 1,500 minimum."
request_212,5749426.70,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 February 2025. None of the available options keeps the IDR 29,579,800 minimum protected."
request_213,3362.40,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,"Use 3 installments of USD 1,165.63, starting 21 January 2026. This leaves at least USD 2,100 available."
request_214,53247.41,affordable_with_plan,partial_payment,2024-12-04:53247.41|2024-12-15:16502.59,2024-12-15,none,"Pay INR 53,247.41 today and the remaining INR 16,502.59 on 15 December 2024. This completes the full request and keeps the INR 174,900 minimum protected."
request_215,29986.00,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of ZAR 10,395.15, starting 9 May 2025. This leaves at least ZAR 15,700 available."
request_216,474.07,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 September 2026. None of the available options keeps the USD 1,800 minimum protected."
request_217,19424.07,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 37,180 request. Although ZAR 19,424.07 is available today, the full amount cannot be completed safely within 90 days."
request_218,24411912.40,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,"Use 3 installments of IDR 21,195,893.33, starting 7 August 2025. This leaves at least IDR 34,477,200 available."
request_219,701.57,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-04-15,none,"Use 3 installments of EUR 580.01, starting 7 April 2026. This leaves at least EUR 1,100 available."
request_220,68.48,not_affordable,not_recommended,none,,none,"Do not make this payment by 3 July 2024. None of the available options keeps the EUR 1,100 minimum protected."
request_221,109800.00,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Pay INR 109,800 today. This leaves at least INR 81,500 available over the next 90 days."
request_222,34078.00,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"Pay ZAR 34,078 today. This leaves at least ZAR 27,300 available over the next 90 days."
request_223,898.70,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay EUR 898.70 today. This leaves at least EUR 800 available over the next 90 days.
request_224,10188566.26,affordable_with_plan,partial_payment,2025-02-04:10188566.26|2025-02-15:138433.74,2025-02-15,none,"Pay IDR 10,188,566.26 today and the remaining IDR 138,433.74 on 15 February 2025. This completes the full request and keeps the IDR 22,187,600 minimum protected."
request_225,9679324.72,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,none,"Use 3 installments of IDR 7,647,120, starting 20 July 2026. This leaves at least IDR 17,670,700 available."
request_226,157000.00,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,"Pay INR 157,000 today. This leaves at least INR 209,400 available over the next 90 days."
request_227,7513.83,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 June 2025. None of the available options keeps the INR 62,900 minimum protected."
request_228,1545975.07,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 April 2026. None of the available options keeps the IDR 26,191,200 minimum protected."
request_229,510.74,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,"Use 3 installments of EUR 529.29, starting 18 March 2024. This leaves at least EUR 1,000 available."
request_230,3537.60,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,"Pay EUR 3,537.60 today. This leaves at least EUR 2,000 available over the next 90 days."
request_231,31691.15,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-02-15,none,"Use 3 installments of ZAR 12,378.08, starting 6 January 2026. This leaves at least ZAR 24,300 available."
request_232,591.24,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 August 2024. None of the available options keeps the EUR 2,400 minimum protected."
request_233,0.00,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 December 2025. None of the available options keeps the IDR 10,365,700 minimum protected."
request_234,182.39,affordable_later,wait,2026-09-15:1213.30,2026-09-15,none,"Pay EUR 1,213.30 in full on 15 September 2026. Paying earlier would take the balance below the EUR 700 minimum."
request_235,967.20,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.20 today. This leaves at least USD 700 available over the next 90 days.
request_236,5950271.67,not_affordable,not_recommended,none,,none,"Do not make this payment by 23 February 2025. None of the available options keeps the IDR 16,768,600 minimum protected."
request_237,22599530.85,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 May 2026. None of the available options keeps the IDR 22,431,500 minimum protected."
request_238,663.60,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of USD 230.05, starting 7 December 2024. This leaves at least USD 700 available."
request_239,642.00,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642 today. This leaves at least USD 600 available over the next 90 days.
request_240,13857.82,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 March 2026. None of the available options keeps the INR 52,800 minimum protected."
request_241,21052000.00,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 21,052,000 request. Although IDR 21,052,000 is available today, the full amount cannot be completed safely within 90 days."
request_242,0.00,not_affordable,not_recommended,none,,none,Do not make this payment by 25 August 2025. None of the available options keeps the EUR 600 minimum protected.
request_243,17468.00,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Pay ZAR 17,468 today. This leaves at least ZAR 19,900 available over the next 90 days."
request_244,49918.00,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,"Pay ZAR 49,918 today. This leaves at least ZAR 45,900 available over the next 90 days."
request_245,23354.54,affordable_later,wait,2026-01-15:128500,2026-01-15,none,"Pay INR 128,500 in full on 15 January 2026. Paying earlier would take the balance below the INR 94,600 minimum."
request_246,64086.00,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22,216.48, starting 3 April 2026. This leaves at least ZAR 39,300 available."
request_247,1059.30,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,"Pay EUR 1,059.30 today. This leaves at least EUR 1,300 available over the next 90 days."
request_248,424.92,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 April 2025. None of the available options keeps the USD 1,300 minimum protected."
request_249,129.11,affordable_later,wait,2026-03-15:643.20,2026-03-15,none,Pay USD 643.20 in full on 15 March 2026. Paying earlier would take the balance below the USD 600 minimum.
request_250,15206.25,affordable_with_plan,partial_payment,2024-12-06:15206.25|2025-01-15:109071.75,2025-01-15,none,"Pay ZAR 15,206.25 today and the remaining ZAR 109,071.75 on 15 January 2025. This completes the full request and keeps the ZAR 35,300 minimum protected."
request_251,0.00,not_affordable,not_recommended,none,,none,"Do not make this payment by 6 June 2025. None of the available options keeps the EUR 1,300 minimum protected."
request_252,3913957.04,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,"Pay IDR 28,082,000 in full on 15 September 2026. Paying earlier would take the balance below the IDR 15,152,200 minimum."
request_253,1364.28,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-05-15,none,"Use 3 installments of EUR 984.60, starting 21 March 2024. This leaves at least EUR 2,300 available."
request_254,618.20,affordable_later,wait,2025-10-15:3535.20,2025-10-15,none,"Pay USD 3,535.20 in full on 15 October 2025. Paying earlier would take the balance below the USD 2,500 minimum."
request_255,3345000.00,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,"Pay IDR 3,345,000 today. This leaves at least IDR 9,813,900 available over the next 90 days."
request_256,151903.01,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 218,700 request. Although INR 151,903.01 is available today, the full amount cannot be completed safely within 90 days."
request_257,345.48,affordable_later,wait,2026-01-15:1352.40,2026-01-15,none,"Pay USD 1,352.40 in full on 15 January 2026. Paying earlier would take the balance below the USD 1,600 minimum."
request_258,1113.60,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,"Pay USD 1,113.60 today. This leaves at least USD 500 available over the next 90 days."
request_259,252.13,affordable_later,wait,2024-11-15:935,2024-11-15,none,Pay EUR 935 in full on 15 November 2024. Paying earlier would take the balance below the EUR 600 minimum.
request_260,7520562.19,not_affordable,not_recommended,none,,none,"Do not make this payment by 18 April 2025. None of the available options keeps the IDR 20,727,700 minimum protected."
request_261,1830.40,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,"Pay EUR 1,830.40 today. This leaves at least EUR 1,500 available over the next 90 days."
request_262,9236000.00,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,"Pay IDR 9,236,000 today. This leaves at least IDR 31,018,500 available over the next 90 days."
request_263,5947.62,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 June 2025. None of the available options keeps the ZAR 24,100 minimum protected."
request_264,23423.31,affordable_later,wait,2026-06-15:111300,2026-06-15,none,"Pay INR 111,300 in full on 15 June 2026. Paying earlier would take the balance below the INR 59,500 minimum."
request_265,0.00,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 March 2024. None of the available options keeps the INR 189,700 minimum protected."
request_266,771.32,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-09-15,none,"Use 3 installments of EUR 324.13, starting 3 August 2025. This leaves at least EUR 900 available."
request_267,1630.60,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,925 request. Although EUR 1,630.60 is available today, the full amount cannot be completed safely within 90 days."
request_268,1036.61,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,"Use 3 installments of EUR 841.22, starting 14 June 2024. This leaves at least EUR 1,400 available."
request_269,0.00,not_affordable,not_recommended,none,,none,"Do not make this payment by 2 January 2026. None of the available options keeps the ZAR 23,100 minimum protected."
request_270,104.41,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 August 2026. None of the available options keeps the USD 1,400 minimum protected."
request_271,12858.11,affordable_later,wait,2024-11-15:91300,2024-11-15,none,"Pay INR 91,300 in full on 15 November 2024. Paying earlier would take the balance below the INR 58,200 minimum."
request_272,5406345.31,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,"Use 3 installments of IDR 4,709,466.67, starting 12 February 2025. This leaves at least IDR 7,508,600 available."
request_273,9576848.04,affordable_with_plan,partial_payment,2026-04-07:9576848.04|2026-04-15:6284151.96,2026-04-15,none,"Pay IDR 9,576,848.04 today and the remaining IDR 6,284,151.96 on 15 April 2026. This completes the full request and keeps the IDR 18,774,600 minimum protected."
request_274,2124.10,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,713.70 request. Although EUR 2,124.10 is available today, the full amount cannot be completed safely within 90 days."
request_275,15884000.00,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,"Pay IDR 15,884,000 today. This leaves at least IDR 12,760,100 available over the next 90 days."
